N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
25,크래프톤,"280,000","4,000",-1.41%,100,"137,402","49,072",29.12,"241,330",24.47,17.86,
26,LG생활건강,"868,000","3,000",+0.35%,"5,000","135,566","15,618",40.67,"42,117",18.21,16.65,
27,SK텔레콤,"60,500","2,500",+4.31%,100,"132,394","218,833",46.00,"1,377,288",8.84,13.63,
28,삼성생명,"64,500",700,-1.07%,500,"129,000","200,000",13.01,"118,213",8.78,4.01,
29,두산중공업,"20,700",200,+0.98%,"5,000","127,595","616,402",8.26,"3,116,135",20.18,10.67,
30,HMM,"25,950",150,+0.58%,"5,000","126,906","489,039",10.82,"3,849,813",1.89,88.62,
31,고려아연,"628,000","2,000",-0.32%,"5,000","118,504","18,870",19.88,"31,366",14.69,11.07,
32,삼성전기,"157,500","2,000",+1.29%,"5,000","117,643","74,694",28.76,"351,979",13.70,14.29,
33,하이브,"283,500","6,500",-2.24%,500,"117,237","41,353",15.57,"271,041",78.62,6.83,
34,LG,"74,500",700,+0.95%,"5,000","117,189","157,301",36.52,"140,147",4.81,12.36,
35,KT&G,"81,800",400,+0.49%,"5,000","112,305","137,292",37.20,"242,613",11.49,10.74,
36,S-Oil,"99,000","1,500",+1.54%,"2,500","111,457","112,583",79.18,"223,022",8.37,21.76,
37,우리금융지주,"15,200",50,+0.33%,"5,000","110,665","728,061",35.22,"1,352,796",4.26,10.59,
38,대한항공,"31,650",150,-0.47%,"5,000","110,085","347,821",13.41,"2,200,159",16.61,11.60,
39,현대중공업,"124,000","2,500",+2.06%,"5,000","110,079","88,773",3.91,"143,340",-11.63,-14.87,
40,SK바이오사이언스,"143,000",500,-0.35%,500,"109,538","76,600",5.16,"177,369",29.62,38.08,
41,포스코케미칼,"139,000","15,000",+12.10%,500,"107,674","77,463",6.23,"1,930,222",78.84,7.92,
42,삼성에스디에스,"137,000",500,+0.37%,500,"106,008","77,378",12.80,"105,144",17.34,8.80,
43,삼성화재,"216,500","3,500",-1.59%,500,"102,567","47,375",48.90,"113,381",9.76,7.09,
44,엔씨소프트,"458,000","4,000",-0.87%,500,"100,549","21,954",42.10,"85,809",25.33,12.62,
45,KT,"36,300",300,+0.83%,"5,000","94,784","261,112",41.54,"940,740",6.98,9.36,
46,SK아이이테크놀로지,"128,500","8,500",+7.08%,"1,000","91,617","71,298",9.61,"389,548",92.25,5.57,
47,LG이노텍,"381,500","5,000",+1.33%,"5,000","90,290","23,667",25.76,"236,484",10.16,30.94,
48,아모레퍼시픽,"154,000","2,000",-1.28%,500,"90,079","58,493",27.37,"292,604",54.88,4.20,
49,넷마블,"103,500",500,-0.48%,100,"88,962","85,954",22.89,"146,951",37.03,4.29,
50,기업은행,"11,000",50,+0.46%,"5,000","81,873","744,301",14.39,"929,489",3.63,9.21,
51,SK스퀘어,"56,200",800,+1.44%,100,"79,505","141,468",39.58,"466,745",3.48,N/A,
52,현대글로비스,"191,000","1,000",-0.52%,500,"71,625","37,500",43.95,"72,318",9.15,14.41,
53,SK바이오팜,"87,400","1,000",+1.16%,500,"68,446","78,313",6.03,"83,101",105.56,15.75,
54,롯데케미칼,"196,500","1,000",-0.51%,"5,000","67,351","34,275",24.34,"78,544",5.01,9.87,
55,LG디스플레이,"18,800",400,+2.17%,"5,000","67,269","357,816",16.50,"1,953,731",5.67,9.68,
56,한화솔루션,"33,800",600,+1.81%,"5,000","64,652","191,278",18.59,"439,057",10.23,8.79,
57,SKC,"166,500","7,500",+4.72%,"5,000","63,051","37,868",16.16,"429,155",28.55,11.60,
58,LG유플러스,"14,200",200,+1.43%,"5,000","61,999","436,611",37.10,"1,142,340",8.70,9.47,
59,한온시스템,"11,400",350,+3.17%,100,"60,853","533,800",17.41,"1,153,565",19.72,13.83,
60,CJ제일제당,"395,000","3,000",+0.77%,"5,000","59,464","15,054",22.51,"34,607",10.56,10.76,
61,F&F,"770,000",0,0.00%,500,"58,993","7,661",13.88,0,16.93,N/A,
62,강원랜드,"27,450",250,+0.92%,500,"58,727","213,940",18.84,"663,749",-560.20,-0.33,
63,한국조선해양,"82,400",100,+0.12%,"5,000","58,317","70,773",19.37,"173,233",-6.28,-8.95,
64,메리츠화재,"47,600",600,-1.24%,500,"57,418","120,625",11.66,"122,677",8.70,26.12,
65,맥쿼리인프라,"14,000",50,+0.36%,0,"56,678","404,846",14.45,"736,657",N/A,N/A,
66,에스디바이오센서,"53,300",900,-1.66%,500,"55,044","103,271",12.42,"257,636",4.91,72.47,
67,현대제철,"40,350",250,+0.62%,"5,000","53,845","133,446",20.69,"225,633",3.68,8.54,
68,KODEX 200,"36,100",25,+0.07%,0,"52,977","146,750",6.77,"4,159,714",N/A,N/A,
69,메리츠금융지주,"39,800",550,-1.36%,500,"52,158","131,051",7.17,"231,063",6.76,22.33,
70,미래에셋증권,"8,410",90,+1.08%,"5,000","51,748","615,316",13.95,"663,912",5.77,11.66,
71,DB손해보험,"71,100",600,-0.84%,500,"50,339","70,800",43.22,"74,351",5.79,13.38,
72,현대건설,"44,950",450,+1.01%,"5,000","50,054","111,356",23.27,"503,343",12.31,5.89,
73,코웨이,"66,000",900,+1.38%,500,"48,708","73,800",61.14,"194,861",10.46,27.41,
74,삼성중공업,"5,450",40,+0.74%,"1,000","47,960","880,000",14.42,"2,760,024",-2.65,-36.89,
75,삼성엔지니어링,"24,300",200,+0.83%,"5,000","47,628","196,000",40.66,"900,791",12.79,20.67,
76,일진머티리얼즈,"103,000","3,100",+3.10%,500,"47,494","46,111",11.86,"402,513",75.68,7.85,
77,금호석유,"152,000",500,+0.33%,"5,000","46,050","30,296",20.07,"73,270",2.59,47.76,
78,유한양행,"60,900","3,300",+5.73%,"1,000","44,598","73,231",17.77,"665,528",44.16,5.45,
79,메리츠증권,"6,660",10,+0.15%,"1,000","43,942","659,791",12.97,"850,240",6.29,15.77,
80,현대중공업지주,"54,800",300,+0.55%,"1,000","43,288","78,993",16.20,"99,301",-32.72,-1.99,
81,한국금융지주,"75,900",600,+0.80%,"5,000","42,296","55,726",35.03,"118,665",2.65,27.12,
82,한국타이어앤테크놀로지,"33,700",150,+0.45%,500,"41,746","123,875",40.22,"337,203",6.98,7.69,
83,쌍용C&E,"8,120",40,-0.49%,100,"40,913","503,860",3.28,"323,301",22.01,11.12,
84,한진칼,"61,200",100,+0.16%,"2,500","40,858","66,761",14.74,"73,689",238.13,1.11,
85,한국항공우주,"41,750",50,-0.12%,"5,000","40,696","97,475",17.79,"572,147",63.64,5.19,
86,GS,"43,300",150,+0.35%,"5,000","40,232","92,915",19.17,"146,260",2.83,15.55,
87,두산밥캣,"39,850",150,+0.38%,500,"39,949","100,249",25.07,"145,828",10.35,9.19,
88,이마트,"136,500","2,500",-1.80%,"5,000","38,050","27,876",30.31,"152,377",2.42,16.25,
89,삼성카드,"32,600",100,-0.31%,"5,000","37,770","115,859",7.28,"56,935",6.85,7.53,
90,NH투자증권,"11,300",50,+0.44%,"5,000","37,478","331,666",16.04,"445,687",3.68,14.77,
91,GS건설,"43,300",300,+0.70%,"5,000","37,057","85,581",27.60,"918,759",9.03,9.32,
92,아모레G,"44,650",400,-0.89%,500,"36,818","82,458",15.41,"103,605",23.81,5.49,
93,삼성증권,"40,850",300,+0.74%,"5,000","36,479","89,300",30.00,"166,024",3.78,16.94,
94,현대오토에버,"128,000",0,0.00%,500,"35,103","27,424",1.87,"57,522",47.37,7.26,
95,오리온,"87,200",500,-0.57%,500,"34,476","39,536",36.15,"71,553",13.38,12.75,
96,한국가스공사,"37,250",250,+0.68%,"5,000","34,387","92,313",10.53,"228,743",3.62,11.63,
97,팬오션,"6,400",70,+1.11%,"1,000","34,212","534,570",14.25,"2,392,099",6.23,17.16,
98,롯데지주,"32,550",200,-0.61%,200,"34,148","104,909",7.79,"124,807",11.17,4.61,
99,한미약품,"274,000","10,000",+3.79%,"2,500","33,751","12,318",13.31,"29,558",50.36,8.75,
100,호텔신라,"83,100",200,+0.24%,"5,000","32,615","39,248",13.78,"228,281",122.75,4.51,
101,TIGER 차이나전기차SOLACTIVE,"14,180",30,-0.21%,0,"32,104","226,400",0.29,"5,553,694",N/A,N/A,
102,현대차2우B,"86,200",100,+0.12%,"5,000","31,450","36,485",61.10,"66,985",4.83,N/A,
103,DB하이텍,"69,700",300,-0.43%,"5,000","30,946","44,399",23.92,"698,422",9.79,33.35,
104,BGF리테일,"178,500",500,+0.28%,"1,000","30,852","17,284",30.72,"19,630",20.90,19.61,
105,한전기술,"80,400","1,100",+1.39%,200,"30,729","38,220",1.13,"248,620",186.98,3.25,
106,GS리테일,"29,150",50,+0.17%,"1,000","30,525","104,718",7.37,"165,025",3.25,25.58,
107,한화시스템,"15,750",0,0.00%,"5,000","29,755","188,919",3.02,"387,237",25.00,6.04,
108,한미사이언스,"43,150",400,+0.94%,500,"29,611","68,624",2.11,"52,560",68.93,6.37,
109,현대미포조선,"74,000",900,+1.23%,"5,000","29,557","39,942",10.45,"201,919",-18.51,-7.11,
110,현대해상,"32,550",400,-1.21%,500,"29,100","89,400",27.03,"412,398",6.73,8.82,
111,제일기획,"24,750",250,-1.00%,200,"28,473","115,041",31.70,"251,900",17.21,15.58,
112,KCC,"319,000","4,000",-1.24%,"5,000","28,348","8,886",10.42,"35,121",-61.92,-0.92,
113,CJ대한통운,"122,000","3,500",-2.79%,"5,000","27,831","22,812",19.95,"52,059",50.83,1.59,
114,대우건설,"6,640",120,+1.84%,"5,000","27,597","415,623",11.06,"1,659,103",5.69,16.47,
115,에스원,"72,200",100,+0.14%,500,"27,435","37,999",53.39,"34,326",21.27,9.13,
116,한화생명,"3,125",20,-0.64%,"5,000","27,142","868,530",7.98,"1,686,409",2.28,10.79,
117,한솔케미칼,"236,500","5,500",+2.38%,"5,000","26,808","11,335",38.46,"38,253",18.07,23.88,
118,롯데쇼핑,"94,500","1,100",-1.15%,"5,000","26,733","28,289",10.86,"78,753",-9.15,-2.94,
119,포스코인터내셔널,"21,150",250,+1.20%,"5,000","26,094","123,375",6.53,"227,081",7.23,10.86,
120,씨에스윈드,"61,600","1,200",+1.99%,500,"25,978","42,171",10.68,"205,873",38.48,10.13,
121,동서,"26,050",50,-0.19%,500,"25,972","99,700",2.94,"44,046",22.91,8.05,
122,키움증권,"98,500",100,+0.10%,"5,000","25,826","26,220",25.41,"30,784",3.00,25.38,
123,BNK금융지주,"7,920",40,+0.51%,"5,000","25,814","325,935",39.90,"581,318",3.26,8.76,
124,한화에어로스페이스,"50,700",300,+0.60%,"5,000","25,669","50,630",21.41,"221,054",10.16,9.21,
125,하이트진로,"36,500",550,-1.48%,"5,000","25,599","70,134",8.13,"344,323",36.25,6.62,
126,대우조선해양,"23,800",50,+0.21%,"5,000","25,535","107,291",4.33,"201,017",-1.50,-55.86,
127,OCI,"107,000","3,500",+3.38%,"5,000","25,519","23,849",14.29,"152,655",3.94,23.93,
128,두산퓨얼셀,"38,800",400,+1.04%,100,"25,412","65,494",14.33,"367,745",366.04,1.69,
129,CJ,"86,900",0,0.00%,"5,000","25,355","29,177",17.63,"86,984",11.27,5.66,
130,신세계,"255,000","4,000",-1.54%,"5,000","25,105","9,845",26.05,"35,116",8.18,8.54,
131,SK케미칼,"136,500","1,000",+0.74%,"5,000","24,052","17,621",18.70,"57,182",16.02,11.19,
132,효성첨단소재,"529,000","15,000",+2.92%,"5,000","23,699","4,480",7.14,"42,103",9.45,54.69,
133,만도,"49,600",400,-0.80%,"1,000","23,291","46,957",18.52,"355,611",13.94,9.31,
134,한화,"30,600",100,+0.33%,"5,000","22,937","74,959",16.26,"129,496",3.33,20.22,
135,솔루스첨단소재,"73,700","4,000",+5.74%,100,"22,545","30,590",5.98,"495,867",255.02,4.00,
136,영원무역,"50,500",200,-0.39%,500,"22,377","44,311",28.12,"86,165",7.51,14.71,
137,롯데정밀화학,"85,300","1,700",+2.03%,"5,000","22,007","25,800",20.56,"213,433",3.76,30.43,
138,녹십자,"188,000","3,500",+1.90%,"5,000","21,971","11,687",22.31,"30,868",17.83,10.30,
139,대한전선,"1,750",75,-4.11%,100,"21,778","1,244,473",2.93,"35,535,706",58.33,7.78,
140,TIGER 미국나스닥100,"80,045",790,+1.00%,0,"21,476","26,830",0.08,"102,639",N/A,N/A,
141,현대차우,"85,600",100,-0.12%,"5,000","20,849","24,357",56.91,"31,580",4.80,N/A,
142,현대로템,"19,100",50,+0.26%,"5,000","20,846","109,142",4.10,"314,090",31.36,5.01,
143,KODEX 200선물인버스2X,"2,560",5,-0.19%,0,"20,800","812,500",6.80,"97,509,405",N/A,N/A,
144,KODEX 레버리지,"19,325",45,+0.23%,0,"20,446","105,800",2.40,"15,741,091",N/A,N/A,
145,LG화학우,"262,000","5,500",+2.14%,"5,000","20,145","7,689",71.52,"7,609",5.59,N/A,
146,대웅제약,"171,500","2,500",+1.48%,"2,500","19,871","11,587",7.87,"40,854",80.59,4.39,
147,휠라홀딩스,"32,000",500,+1.59%,"1,000","19,441","60,752",39.76,"362,241",8.26,16.20,
148,한전KPS,"42,400",150,+0.36%,200,"19,080","45,000",5.48,"315,609",19.33,9.12,
149,농심,"313,000","4,000",-1.26%,"5,000","19,039","6,083",12.12,"23,326",19.07,4.73,
150,신풍제약,"35,900",650,+1.84%,500,"19,022","52,985",5.22,"672,219",-170.95,-3.19,
151,효성티앤씨,"437,000","2,000",+0.46%,"5,000","18,912","4,328",10.58,"22,434",2.45,76.22,
152,일동제약,"73,000","2,500",-3.31%,"1,000","18,836","25,803",1.80,"2,756,321",-17.43,-48.94,
153,한샘,"80,000","1,900",+2.43%,"1,000","18,827","23,534",14.86,"48,979",33.66,9.10,
154,TIGER 200,"36,120",15,+0.04%,0,"18,674","51,700",0.23,"905,060",N/A,N/A,
155,후성,"19,750",900,+4.77%,500,"18,290","92,607",6.10,"2,397,891",80.94,9.61,
156,TIGER 단기통안채,"100,750",5,0.00%,0,"17,773","17,641",0.67,"377,486",N/A,N/A,
157,현대백화점,"75,100",200,-0.27%,"5,000","17,575","23,402",18.01,"62,379",9.28,4.36,
158,효성,"83,300",300,-0.36%,"5,000","17,552","21,071",6.89,"29,756",4.01,18.04,
159,대웅,"30,100",150,+0.50%,500,"17,501","58,142",4.61,"32,783",22.21,11.13,
160,롯데렌탈,"47,650",0,0.00%,"5,000","17,456","36,634",3.47,"240,367",12.93,12.28,
161,동원시스템즈,"59,800","2,400",+4.18%,"5,000","17,455","29,188",13.08,"65,773",40.16,6.95,
162,오뚜기,"464,500","7,000",-1.48%,"5,000","17,056","3,672",11.94,"3,330",13.18,8.91,
163,아이에스동서,"54,800",300,+0.55%,500,"16,929","30,893",4.21,"42,931",16.13,8.69,
164,LS,"52,400","1,500",+2.95%,"5,000","16,873","32,200",13.16,"153,255",6.07,8.15,
165,한미반도체,"17,000",0,0.00%,100,"16,816","98,920",5.89,"197,709",16.22,34.59,
166,JB금융지주,"8,520",50,-0.58%,"5,000","16,783","196,983",41.75,"204,477",3.31,12.80,
167,아시아나항공,"22,550",150,+0.67%,"5,000","16,780","74,412",7.54,"478,858",-4.63,-47.21,
168,코오롱인더,"60,400","1,100",+1.85%,"5,000","16,622","27,519",19.65,"95,722",9.53,8.20,
169,현대위아,"61,000",600,-0.97%,"5,000","16,589","27,195",6.63,"113,523",26.61,1.96,
170,롯데칠성,"178,500","1,500",-0.83%,500,"16,563","9,279",9.81,"31,291",13.04,9.96,
171,KODEX 삼성그룹,"9,070",35,+0.39%,0,"16,380","180,600",0.14,"414,646",N/A,N/A,
172,두산,"98,600",400,-0.40%,"5,000","16,292","16,524",10.77,"60,648",9.97,11.08,
173,TIGER 미국S&P500,"13,910",165,+1.20%,0,"15,816","113,700",0.10,"993,841",N/A,N/A,
174,KG동부제철,"15,750",600,-3.67%,"5,000","15,751","100,009",0.63,"31,769,751",8.25,17.99,
175,DGB금융지주,"9,240",20,-0.22%,"5,000","15,629","169,146",50.26,"253,395",3.11,9.63,
176,일진하이솔루스,"43,000",950,-2.16%,500,"15,615","36,313",1.51,"182,149",151.41,4.97,
177,KODEX 단기채권,"103,295",5,0.00%,0,"15,606","15,108",0.00,"7,246",N/A,N/A,
178,LIG넥스원,"70,300","1,000",+1.44%,"5,000","15,466","22,000",7.51,"166,775",14.72,14.63,
179,동국제강,"16,050",350,+2.23%,"5,000","15,317","95,433",21.63,"381,412",2.78,23.41,
180,케이카,"31,550",800,-2.47%,500,"15,171","48,087",17.50,"177,425",31.42,20.96,
181,현대엘리베이,"36,800",150,-0.41%,"5,000","15,020","40,815",30.26,"97,470",13.28,10.62,
182,KODEX MSCI Korea TR,"11,540",10,+0.09%,0,"14,817","128,400",8.71,"393,309",N/A,N/A,
183,ESR켄달스퀘어리츠,"6,940",120,+1.76%,"1,000","14,788","213,089",53.91,"432,018",53.80,1.34,
184,PI첨단소재,"49,100",650,-1.31%,500,"14,419","29,366",10.53,"321,258",22.53,21.03,
185,한일시멘트,"20,350",150,-0.73%,500,"14,095","69,262",2.92,"107,365",17.93,5.89,
186,대덕전자,"28,500",50,+0.18%,500,"14,084","49,417",17.44,"669,919",23.28,9.55,
187,TIGER 미국테크TOP10 INDXX,"12,185",105,+0.87%,0,"14,080","115,550",0.12,"923,514",N/A,N/A,
188,롯데리츠,"5,740",80,+1.41%,500,"13,946","242,969",9.46,"342,007",75.53,1.59,
189,KODEX 종합채권(AA-이상)액티브,"103,635",55,-0.05%,0,"13,792","13,308",0.00,"1,621",N/A,N/A,
190,KODEX 2차전지산업,"20,525",810,+4.11%,0,"13,772","67,100",1.17,"3,566,438",N/A,N/A,
191,NHN,"36,650","1,300",-3.43%,500,"13,750","37,518",19.24,"137,452",11.77,6.81,
192,더존비즈온,"45,150",600,-1.31%,500,"13,718","30,383",32.83,"197,721",26.45,12.10,
193,티와이홀딩스,"26,650",0,0.00%,500,"13,573","50,929",5.81,"21,035",7.64,11.58,
194,코스모신소재,"44,650","2,750",+6.56%,"1,000","13,434","30,087",6.58,"2,296,416",73.92,9.42,
195,한국앤컴퍼니,"14,050",100,-0.71%,500,"13,338","94,935",9.77,"76,502",6.73,5.53,
196,LX인터내셔널,"34,200",250,+0.74%,"5,000","13,256","38,760",25.69,"232,856",3.79,22.49,
197,솔루엠,"26,450",150,-0.56%,500,"13,226","50,006",9.41,"271,968",96.89,6.94,
198,TIGER 2차전지테마,"21,260",890,+4.37%,0,"13,224","62,200",0.95,"3,964,073",N/A,N/A,
199,LS ELECTRIC,"43,200",150,+0.35%,"5,000","12,960","30,000",16.20,"82,970",15.29,5.86,
200,TIGER MSCI Korea TR,"14,505",30,+0.21%,0,"12,779","88,100",0.00,"2,896",N/A,N/A,
